source,target
Sudah makan Bu?, Panjenengan sampun dhahar Bu?
Pak RT sudah pulang jam 10 pagi, Pak RT sampun kondur tabuh 10 enjing
Bu guru tidak bisa datang karena sakit, Bu Guru mboten saget rawuh amargi gerah
Bu saya dan teman-teman mau latihan futsal di dekat Mandala Krida, Bu kula kalih kanca-kanca badhe latihan futsal wonten ing celak Mandala Krida
Permisi saya mau tanya rumahnya Mas Andi di mana ya?, Nuwun sewu kula badhe nyuwun pirsa dalemipun Mas Andi punika wonten pundi
Sudah jam 10 malam Bapak belum tidur?, Sampun jam sedasa Bapak dereng tilem?
Saya lupa membawa PR, Kula kesupen mboten nggarap PR
Dino masuk angin karena mandinya kemalaman, Dino masuk angin amergi sirame kedalon
Dodi duduk di kursi yang banyak semutnya, Dido lenggah ing kursi ingkang katah semute
Setiap pagi aku selalu membeli nasi pecel sebelum berangkat ke sekolah, Saben enjing kulo kedah tumbas sekul pecel damel sarapan sakderengipun sekolah
Aku punya mainan baru yang lucu sekali, Kulo nggadah dolanan anyar ingkang lucu banget
Sudah jam sepuluh malam kok budhe belum tidur?, Sampun jam sedasa budhe kok dereng tilem?
Adikku diberi jajan sama Bu Guru karena nilai ulangannya bagus,Rayi kulo disukani Bu Guru jajan amarga nilai ulangane apik.
Yang dipilih Mas Sigit itu jurusan tataboga atau perhotelan?,Ingkang dipilih Mas Sigit menika jurusan tataboga utawi perhotelan?
Mbak Siska ikut Pakdhe ke Yogyakarta.,Mbak Siska tumut pakdhe dateng Yogyakarta.
Bapak tidak mandi karena sakit.,Bapak mboten siram amargi gerah.
Saya dibelikan laptop baru sama Bapak,Kula ditumbasaken laptop anyar kaliyan bapak.
Saya tidak ingat jika hari ini harus membelikan pakaian untuk Bapak.,Kula mboten kemutan menawi dinten menika kedah numbasaken rasukan kagem bapak.
Ini batiknya mana yang akan ditukarkan?,Niki bathike ingkang pundi ingkang ajeng diijolaken?
Mbak kamu tadi dicari Bapak.,Mbak njenengan wau dipadosi bapak.
Pak Bejo Anda tidak jadi pergi?,Pak Bejo sampeyan mboten saget kesah?
Tadi sudah makan atau belum Bu?,Kalawau sampun dhahar napa dereng Bu?
Mas Bayu tadi berangkat sekolah jalan kaki,Mas Bayu kalawau berangkat sekolah mlampah.
Bobby lupa kalau harus beli pulpen,Bobby mboten kemutan menawi kedah tumbas pulpen.
Adik tadi pulang dari Jakarta naik bis,Adik kalawau wangsul dughi Jakarta kanthi numpak bis.
Rini punya buku baru yang bagus,Rini nggadah buku anyar ingkang sae.
Saya kemarin melihat pertunjukkan wayang kulit,Kula kalawingi ningali wayang kulit.
Adik memakan ikan bandeng,Adhik nedha iwak bandeng.
Saya akan membeli rokok,Kula badhe tumbas rokok.
Rani membeli gula di warung Bu Tuti,Rani tumbas gendhis ing warung Bu Tuti.
Bu Inem mengambil bakso di rumahnya Pak Samir.,Bu Inem mundhut bakso ing dalemipun Pak Samir.
Pak Darto baru saja berangkat ke kantor.,Pak Darto nembe kemawon tindak dhateng kantor.
Budhe berangkat ke Sleman hari Rabu.,Budhe tindak dhateng Sleman dina Rebo.
Saya tadi diambilkan buku oleh Bapak.,Kulo wau dipundhutaken buku kalian bapak.
Adik ikut Bapak ke Pasar.,Adik ndherek bapak dhateng peken.
Bapak membaca koran sambil minum kopi.,Bapak maos koran kaleh ngunjuk wedang kopi.
Setiap pagi Eyang jalan-jalan di taman.,Saben enjing eyang mlampah-mlampah dhateng taman.
Ibu menegur adik supaya tidak malas belajar.,Ibu ndukani adik amargi mboten kesed sinau.
Mbak Risa mengambil baju banyak karena harganya murah.,Mbak Risa mundhut rasukan kathah amargi reganing mirah.
Eyang kakung duduk di kursi goyang.,Eyang kakung lenggah wonten ing kursi goyang.
Dino menanam padi di sawah milik Pak Tirjo.,Dino nanem pantun ing sabine Pak Tirjo.
Pak Bejo sakit gigi sejak hari Selasa.,Pak Bejo gerah wojo awet dinten Selasa.
Pak Bahri mengambil sepatu di rumahnya Pak Bejo.,Pak Bahri mundhut sepatu ing ndaleme Pak Bejo.
Eyang kakung baru saja mandi karena sudah sore.,Eyang kakung nembe siram amergi sampun sonten.
Buku saya dibawa Bu Guru.,Buku kulo dipun asto Bu Guru.
Dia sudah datang di rumah saya bersama adiknya.,Piyambakipun sampun dugi griyo kulo kalih rainipun.
Pak Dibyo panen kacang dapat banyak.,Pak Dibyo panen kacang angsal katah.
Kalau Anda memiliki uang Anda akan membeli apa?,Manawi panjenengan kagungan arta panjenengan badhe tumbas nopo?
Sebelumnya saya minta maaf karena saya tidak dapat datang ke rumah Anda.,Sakderengipun kula nyuwun pangapunten amargi kula mboten saget dateng daleme panjhengengan.
Apabila saya salah saya minta maaf.,Umpami kula lepat kula nyuwun pangapunten.
Saya punya ayam dua kalau Anda suka Anda bisa bawa satu.,Kulo nggadahi ayam kaleh menawi panjhenengan purun panjhenengan mbeto setunggal.
Saya ingin bertanya alamat rumahnya Mas Budi dimana?,Kula nderek pirsa dalemipun Mas Budi ten pundi?
Budhe pergi ke pasar menaiki sepeda motor,Budhe tindak datheng peken nitih sepeda motor.
Eyang kakung perutnya sedang sakit.,Eyang kakung padharanipun gerah.
Ibu sedang tidur,Ibu badhe sare.
Kakek tidak mau makan karena giginya sakit.,Bapak mboten purun dahar amargi wajanipun gerah.
Pakdhe melihat pameran dilapangan.,Pakdhe mrisani pameran ing lapangan.
Bulik saya sedang makan,Bulik kula badhe dhahar.
Bu Mila tidak berangkat ke sekolahan.,Bu Mila mboten rawuh datheng pawiyatan.
Eyang saya setiap pagi mendengarkan radio dan membaca koran.,Eyang kula saben enjang mirengake radio kalihan maos koran.
Padinya sudah waktunya panen karena sudah tiga bulan.,Pantune sampun wancine panen amargi sampun tigo wulan.
Kambingnya Mbah Marpun dibeli orang Madura.,Mendone Mbah Marpun ditumbas tiyang Wedunten.
Sebelum hujan tadi adik membeli petasan.,Sakderengeipun jawah kalawau adik tumbas mercon.
Pak RT akan mengadakan pengajian di hari Selasa Wage depan.,Pak RT badhe ngewontenaken pengaosan dinten Selasa Wage ngajeng.
Tangan adik kejepit pintu.,Astanipun adik kejepit lawang.
Saya tidak jadi pulang hari ini karena tidak ada teman.,Kula mboten sios wangsul dinten menika amergi mboten wonten sarengane.
Tidak perlu sombong karena Anda saat ini masih kuat.,Mboten usah jumawa menawi panjhenengan niku tasih kiat.
Gulanya sudah habis sudah saatnya beli lagi.,Gendhisipun sampun telas sampun wancini tumbas malih.
Silakan mampir ke rumah jangan malu-malu.,Monggo pinarak ten griyo mboten usah sungkan-sungkan.
Sudah malam sudah waktunya tidur.,Sampun ndalu sampun wancini tilem.
